,Time,Time_raw,SR,WT,SL,DL,interporated GSI_Female,interporated GSI_Male
356,356.0,2016-09-21,6.450000000000000,22.537500000000000,0.2,12.2,1.0582733235829500,0.33879921485032300
357,357.0,2016-09-22,3.44,22.300000000000000,0.0,12.15,1.104302307371170,0.3297746420583180
358,358.0,2016-09-23,5.13,22.97083333333330,0.0,12.116666666666700,1.1601065191404600,0.3231573064880690
359,359.0,2016-09-24,3.6200000000000000,22.112500000000000,0.1,12.066666666666700,1.2228438024452300,0.3190821288884740
360,360.0,2016-09-25,17.41,22.804166666666700,6.9,12.05,1.2896720008399400,0.3176840300084310
361,361.0,2016-09-26,11.29,25.2,6.6,12.016666666666700,1.357748957879020,0.31909793059683500
362,362.0,2016-09-27,13.83,25.95,6.0,11.966666666666700,1.4242325171168900,0.3234587514025870
363,363.0,2016-09-28,4.4000000000000000,25.425000000000000,0.2,11.933333333333300,1.4862805221080000,0.3309014131745820
364,364.0,2016-09-29,8.750000000000000,24.64166666666670,0.7,11.9,1.5410508164067900,0.3415608366617190
365,365.0,2016-09-30,10.49,21.637500000000000,0.9,11.866666666666700,1.5863128491112800,0.35539510465966600
366,366.0,2016-10-01,8.73,23.741666666666700,0.9,11.833333333333300,1.6222824914938600,0.371654948151174
367,367.0,2016-10-02,10.300000000000000,25.087500000000000,2.1,11.783333333333300,1.6497872203705200,0.3894142601657630
368,368.0,2016-10-03,4.240000000000000,24.129166666666700,0.0,11.766666666666700,1.669654512557250,0.4077469337329550
369,369.0,2016-10-04,11.270000000000000,23.541666666666700,2.5,11.716666666666700,1.682711844870030,0.4257268618822710
370,370.0,2016-10-05,6.670000000000000,23.08333333333330,1.9,11.683333333333300,1.6897866941248300,0.4424279376432310
371,371.0,2016-10-06,19.62,23.75,10.9,11.65,1.6917065371376600,0.45692405404535800
372,372.0,2016-10-07,13.650000000000000,21.59166666666670,6.5,11.6,1.6892988507244800,0.46828910411817200
